paper_id,pdf_filename,license,redistributable,evidence
lin2026fdbv3,full-duplex-bench-v3-tool-use-disfluency.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
meyer2026vamos,vamos-bench-voice-agent-simulation-bench.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
mishra2026mtva,mtva-bench-cascaded-voice-agents.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
nemotron2026voicechat,nemotronlabs-voicechat-duplex-tools.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
ray2026tauvoice,tau-voice-benchmarking-full-duplex-voice-agents.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
salimi2026ihbench,ihbench-post-interruption-recovery.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
speechgym2026,speechgym-audio-native-voice-agent-rl.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
duplexcascade2026,duplexcascade-full-duplex-s2s-dialogue.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
qiu2026enterprise,building-enterprise-realtime-voice-agents-tutorial.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
zou2026lts,lts-voiceagent-listen-think-speak-streaming.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
chen2024voicebench,voicebench-benchmarking-llm-voice-assistants.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
fdbench15,full-duplex-bench-v1.5-overlap-handling.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
fdbench2,full-duplex-bench-v2-multiturn-examiner.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
flexi2025,flexi-full-duplex-human-llm-interaction.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
lin2025fdbench,full-duplex-bench-turn-taking-capabilities.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
zhang2026mtrduplex,mtr-duplexbench-multiround-eval.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
shih2026mpbench,mp-bench-voice-agents-multiparty-conversation.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
xiong2026msibench,msi-bench-multispeaker-voice-interaction.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
defossez2024moshi,moshi-speech-text-foundation-model.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
omniflatten2024,omniflatten-seamless-voice-conversation.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
veluri2024synchronous,synchronous-llms-full-duplex-dialogue-agents.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
mossspeech2025,moss-speech-true-speech-to-speech-models.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
duplexchat2026,duplexchat-speaker-separated-full-duplex-dialogue.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
labiausse2026hibikizero,simultaneous-speech-to-speech-translation-no-aligned-data.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
cui2024speechlm,cui2024-speechlm-survey.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
gupta2024s2st,gupta2024-direct-s2st-survey.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
pedinotti2026structsurvey,structsurvey-agentic-survey-generation.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
dekel2023speak,speak-while-you-think-streaming-synthesis.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
livespeech2024,livespeech-low-latency-zero-shot-tts.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
dinh2025tts,benchmarking-responsiveness-open-source-tts-mdpi.pdf,CC-BY-4.0,true,utedunderthetermsandconditionsofthecreativecommonsattribution(ccby)license(https://creativecommons.org/licenses/by/4.0/)
ctctts2026,ctc-tts-dual-streaming.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
saloev2026mimi,mimi-codec-metalinguistic-representations.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
voicechattts2026,voicechat-tts-low-latency-continuous-synthesis.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
ekstedt2022prosody,prosody-for-turn-taking-vap.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
ekstedt2022vap,voice-activity-projection-self-supervised-turn-taking.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
inoue2024multilingual,multilingual-vap-turn-taking.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
inoue2024realtime,realtime-continuous-vap-turn-taking.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
elmers2025triadic,triadic-multiparty-vap-turn-taking.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
vapmultimodal2025,vap-multimodal-encoders.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
hamanaka2026sensor,sensor-augmented-vap-turn-taking-sigdial2026.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
qi2026muvap,muvap-multimodal-multiparty-voice-activity-projection.pdf,arXiv-default,false,arXiv-hosted; no explicit CC grant found in document text
