paper_id,title,authors,year,venue,identifier,url,category,corpus_role,pdf_filename,pdf_sha256,license,redistributable,verified,verified_date
lin2026fdbv3,Full-Duplex-Bench-v3: Benchmarking Tool Use for Full-Duplex Voice Agents Under Real-World Disfluency,"Lin, Guan-Ting and Chen, Chen and Chen, Zhehuai and Lee, Hung-yi",2026,arXiv preprint arXiv:2604.04847,arXiv:2604.04847,,agentic_evaluation,primary,full-duplex-bench-v3-tool-use-disfluency.pdf,bb3c9143ac444f766aaa57a29f92bfe3294181b1d5f1c0426383489356cb8bc6,arXiv-default,false,true,2026-09-23
meyer2026vamos,VAmoS Bench: Voice Agent Simulation Bench,"Meyer, Joshua and Shayegan, Sahar and Tambi, Ritiz and Khan, Ali and Kim, Sun and Shih, Victor and Jamei, Mehdi and Partovi, Andi",2026,arXiv preprint arXiv:2607.27453,arXiv:2607.27453,,agentic_evaluation,primary,vamos-bench-voice-agent-simulation-bench.pdf,fb55761f6199d3ff10cee2baf180136e850da982d3b798cc86ffcca4b2e7954d,arXiv-default,false,true,2026-09-23
mishra2026mtva,MTVA-Bench: Evaluating the Language Model Inside Cascaded Voice Agents,"Mishra, Pritish and Kumar, Ishaan and Mandoli, Akshat and Kamath, Sudarshan",2026,arXiv preprint arXiv:2609.20152,arXiv:2609.20152,,agentic_evaluation,primary,mtva-bench-cascaded-voice-agents.pdf,87086ed2dfa8aa89bc3d55ca723778c34e12c9a66633cd67a01ac30e70c5a89f,arXiv-default,false,true,2026-09-23
nemotron2026voicechat,NemotronLabs VoiceChat: An Open Full-duplex Speech-to-Speech Model with Tool Calling Capabilities,{NVIDIA},2026,arXiv preprint arXiv:2609.21967,arXiv:2609.21967,,agentic_evaluation,primary,nemotronlabs-voicechat-duplex-tools.pdf,b3f6b81779e31b5454d108cf01abf760571349e283823509d9c196fc32fadf80,arXiv-default,false,true,2026-09-23
ray2026tauvoice,$\tau$-Voice: Benchmarking Full-Duplex Voice Agents on Real-World Domains,"Ray, Soham and Dhandhania, Keshav and Barres, Victor and Narasimhan, Karthik",2026,arXiv preprint arXiv:2603.13686,arXiv:2603.13686,,agentic_evaluation,primary,tau-voice-benchmarking-full-duplex-voice-agents.pdf,4656c70efc086472102e735f346613ac66db40ff705bd91e8590d1be15670c3e,arXiv-default,false,true,2026-09-23
salimi2026ihbench,IHBench: Evaluating Post-Interruption Recovery in Voice Agents with Structured Workflows,"Salimi, Ahmad and Ma, Wentao and Tang, Yuzhi and Shen, Dongming and Li, Mu and Smola, Alex",2026,arXiv preprint arXiv:2606.19595,arXiv:2606.19595,,agentic_evaluation,primary,ihbench-post-interruption-recovery.pdf,604da0359aaf591597b908a594227c55858f16f944daa22d63a2f52485f767f3,arXiv-default,false,true,2026-09-23
speechgym2026,SpeechGym: An Audio-Native Gym for Training Voice Agents via Reinforcement Learning,"Fan, Jiajun and Li, Jingyuan and Shivakumar, Prashanth Gurunath and Huang, Jia-Hong and Luo, Qi and Bulyko, Ivan and Liu, Ge and Ren, Roger",2026,arXiv preprint arXiv:2608.26432,arXiv:2608.26432,,agentic_evaluation,primary,speechgym-audio-native-voice-agent-rl.pdf,b1915881d57c40020e898456a6afdc95e0105848c3e80a99d230656f9e5c82c0,arXiv-default,false,true,2026-09-23
duplexcascade2026,DuplexCascade: Full-Duplex Speech-to-Speech Dialogue with VAD-Free Cascaded ASR-LLM-TTS Pipeline and Micro-Turn Optimization,"Yang, Jianing and Fujita, Yusuke and Sudo, Yui",2026,arXiv preprint arXiv:2603.09180,arXiv:2603.09180,,cascaded_hybrid,primary,duplexcascade-full-duplex-s2s-dialogue.pdf,08644474d5f4ff96e94a2268532a20a9a074ad7a7d8e8af3268f06666790acb1,arXiv-default,false,true,2026-09-23
qiu2026enterprise,Building Enterprise Realtime Voice Agents from Scratch: A Technical Tutorial,"Qiu, Jielin and Chen, Zixiang and Yang, Liangwei and Zhu, Ming and Liu, Zhiwei and Tan, Juntao and Zhao, Wenting and Murthy, Rithesh and Ram, Roshan and Prabhakar, Akshara and Heinecke, Shelby and Xiong, Caiming and Savarese, Silvio and Wang, Huan",2026,arXiv preprint arXiv:2603.05413,arXiv:2603.05413,,cascaded_hybrid,primary,building-enterprise-realtime-voice-agents-tutorial.pdf,a9b76057630af8ccd8c3b5aec56038c40f90cca32a1ce340eff74c3c10a78770,arXiv-default,false,true,2026-09-23
zou2026lts,LTS-VoiceAgent: A Listen-Think-Speak Framework for Efficient Streaming Voice Interaction via Semantic Triggering and Incremental Reasoning,"Zou, Wenhao and Miao, Yuwei and Ma, Zhanyu and Xu, Jun and Gao, Jiuchong and Hao, Jinghua and He, Renqing and Xu, Jingwen",2026,arXiv preprint arXiv:2601.19952,arXiv:2601.19952,,cascaded_hybrid,primary,lts-voiceagent-listen-think-speak-streaming.pdf,d25c97a806de2f9c423c0a2c3aab11aa39abd744f761ff2b34f2b5277e6616a0,arXiv-default,false,true,2026-09-23
